,MLP_f1-score,MLP_precision,MLP_recall,MLP_mse,MLP_pearson,RF_f1-score,RF_precision,RF_recall,RF_mse,RF_pearson,GAT_f1-score,GAT_precision,GAT_recall,GAT_mse,GAT_pearson,GCN_f1-score,GCN_precision,GCN_recall,GCN_mse,GCN_pearson
cross_val_0,0.7241863673219443,0.7463698573513334,0.7100794532610518,0.20486431640703642,0.7557639461541705,0.5340425697898485,0.7226288962215378,0.5410299715122819,0.2738403318037416,0.6941402803102819,0.7964601395102765,0.8385690953076992,0.7758003419992013,0.13403535451042373,0.8506501200956005,0.7616418737228791,0.8227583096152108,0.7363692079647889,0.1509971844593684,0.833329896153776
cross_val_1,0.6778107971594677,0.67903845074738,0.6779478238171833,0.23282431855796104,0.7002796878839365,0.517193082931513,0.6028994576528633,0.5087698429130244,0.2975302117835993,0.5850882289460577,0.691089245881655,0.7048638491652383,0.6806400100386552,0.1884688381792334,0.7445051008989494,0.6350031104515348,0.673349258095437,0.6209978571252791,0.19956869986207995,0.7216275089467813
cross_val_2,0.7047120425333331,0.7164298872915825,0.6952137672099236,0.2186766978168598,0.7283949632333757,0.4879075723991398,0.6932001776851829,0.4777633226177371,0.30625401606425706,0.6020566227966079,0.7967684788370049,0.8193769698918999,0.7796692156546872,0.13781539323463007,0.8343054667508406,0.756664869723863,0.7849378691892518,0.7369959823308522,0.1668378089824522,0.7989809700012905
cross_val_3,0.7275067336588245,0.7402166298164697,0.7167024268192194,0.20524260748040146,0.7377024356768126,0.5523271634543171,0.7430678673932478,0.5301602614505684,0.2734369768832204,0.6490562615389323,0.8228538269915586,0.8386396790960174,0.8098003705784848,0.11942305221103183,0.8530531304485879,0.778288296629333,0.8072804407309647,0.7581569881244841,0.15776130598909976,0.8018079270805539
cross_val_4,0.67863650478205,0.6695646671651062,0.6915267518164768,0.22496777558398903,0.695019559933625,0.5526222332424924,0.6206957817894049,0.5285306927416068,0.28577381127322343,0.5739661285490774,0.7871912612472203,0.7972248980535829,0.7785928793331246,0.1297614884802842,0.8180265617097052,0.7625905966946354,0.770302372388485,0.7576121749323731,0.1503378195611901,0.79035786221632
cross_val_5,0.649177206106302,0.6737910914170403,0.6316613992224808,0.26026385325731477,0.6293916495107676,0.4754234983630812,0.6307463118430118,0.4610631056338208,0.3080256590041715,0.4960492783131466,0.7066622355258119,0.759204473211343,0.6750511203706356,0.19023165796557656,0.727806328562278,0.6502642776798496,0.6772859755136139,0.6315430606804754,0.230299878037498,0.660547878140388
